zone,year_mean,length_interval,forest_area_change,forest_area_abs,wood_harvest_int_change,after_storm,human_pop_change,mechanisation_abs,mechanisation_period,grassland_area_change,grassland_area_abs,temperature_change,temperature_abs
CentralAlps,1975.5,8,0.346226182284774,36.3009190972272,-0.00355119734801924,FALSE,0.432363130678555,1.13651404555733,FALSE,0.119439804866008,30.7869857266713,-0.00480341988251245,0.010582226452749
CentralAlps,1975.5,12,0.360383160283646,36.3277250365482,-0.00384435914318202,FALSE,0.538915541238221,1.14376592128748,FALSE,0.0920682385105766,30.976968469257,-0.0186368518529323,-0.0908114814624481
CentralAlps,1981.5,8,0.395542933568705,36.6593683793048,0.0593353716207912,FALSE,1.12517588102629,1.38417310682683,FALSE,0.0235543000750206,31.5819182839056,0.0682127800613807,-0.0291049247642302
CentralAlps,1985.5,12,0.504564296259074,37.1048383032672,0.0320426998964764,FALSE,1.60773261358189,1.57791561143652,FALSE,-0.0759053183041195,31.4265627353788,0.106596966712375,0.350234627637992
CentralAlps,1987.5,8,0.563539737971913,37.3310555585805,0.00470820545998098,FALSE,2.0114863674913,1.67756344340366,FALSE,-0.0843582735499873,31.2792301679206,0.186600411356084,0.447250750728312
CentralAlps,1993.5,8,0.328203838871605,37.8653609755626,-0.0369605188198701,TRUE,1.89237308783944,1.80842676457917,FALSE,-0.0276666719418345,30.8924974007337,0.0125326605747651,0.973192676015534
CentralAlps,1995.5,12,0.379368786015836,37.9855519558582,-0.0642321766188563,TRUE,1.22430933415917,1.82928867504954,FALSE,0.0465254321389548,31.04595798183,0.0183004720653864,1.00837302873112
CentralAlps,1999.5,8,0.443646519408418,38.2265778811638,-0.0537567939063718,FALSE,0.71181332658884,1.88499988800202,FALSE,0.0996268271127566,31.2527292352279,0.152006913446305,1.19833396748643
CentralAlps,2005.5,8,0.519102569357624,38.7766152669814,0.108951780701633,FALSE,1.65626561925675,2.03082639772045,FALSE,-0.0305412235273185,31.3487046023953,-0.0263795070074145,1.30713477061441
CentralAlps,2005.5,12,0.499821729128458,38.8162529276173,0.108756709168004,FALSE,1.6634812369622,2.02953346448174,FALSE,-0.0433450469626053,31.2940039550523,-0.00480954386387558,1.28438685694215
CentralAlps,2011.5,8,0.572758746781901,39.7302462662412,-0.0211515137097667,FALSE,2.12571773207272,2.18728523920199,FALSE,0.0507464079421302,31.1701887789908,0.138789363233084,1.45621583146628
CentralAlps,2015.5,12,0.563386287967283,40.4283656950183,-0.0492731257501179,FALSE,1.64444179088699,2.30704873992228,FALSE,0.00976725052931435,31.1791380263694,0.0807220617738564,1.7217679354033
CentralAlps,2017.5,8,0.484204447037783,40.8538117473806,-0.0359369605831183,FALSE,1.34073492627847,2.37123963430654,FALSE,-0.0671304088940361,31.2571651067323,-0.0471710955366535,1.99387179786424
HighAlps,1933.5,8,0.371700206221429,13.8492734041713,-0.0224645057332212,FALSE,0.0441210637489296,0.00461612196768581,FALSE,-0.0381107559310799,29.5202678043583,-0.0290297113594079,-0.139281252604838
HighAlps,1935.5,12,0.415705236315345,14.0136475629932,0.0930528518089248,FALSE,0.044121063748936,0.00637515239725452,FALSE,-0.035907703444517,29.449127526457,-0.0759382132195031,-0.304414074990634
HighAlps,1939.5,8,0.446969953893385,14.3009258619799,0.334411798845539,FALSE,0.0559612976925821,0.0104920754673665,FALSE,-0.0260125798335902,29.3170094385765,0.0518076577069302,-0.261513654675314
HighAlps,1945.5,8,0.288108465963745,14.624948745314,-0.182958410487358,FALSE,0.0964673611840256,0.0206238657835255,FALSE,-0.0177858200872983,29.1950508161699,0.157465035765222,0.453534724074518
HighAlps,1945.5,12,0.342829146593116,14.6345977907762,-0.108895012354149,FALSE,0.0953171350847776,0.0206965763929235,FALSE,-0.0177858200873009,29.1950508161699,0.140684864320359,0.194703259360081
HighAlps,1951.5,8,0.379299450021452,14.89301351394,0.0101248583405722,FALSE,0.113831971011809,0.0384621932170093,FALSE,-0.0177858200872985,29.0883358956461,-0.199239213413778,0.254135225863662
HighAlps,1955.5,12,0.297973063508384,15.0395399116815,-0.0430109099078897,FALSE,0.120853071617363,0.0635944540263597,FALSE,-0.0118258554045658,29.0357203315932,0.030603321858013,0.079275576293326
HighAlps,1957.5,8,0.25102679508066,15.103357578281,-0.080213080145422,FALSE,0.123122578459478,0.0771267746091573,FALSE,-0.00808082583684027,29.0094125495668,0.202125794750745,-0.00468782845341824
HighAlps,1963.5,8,-0.207459916743284,15.1302067931718,-0.0232306789155236,FALSE,0.169485361091767,0.125080205952305,FALSE,-0.000796253386958813,28.9755121593467,-0.0165569184954296,-0.113394111094693
HighAlps,1965.5,12,0.122165134298237,15.1399479436158,-0.0173749069222972,FALSE,0.154706707458751,0.138074222346035,FALSE,0.00462923258054995,28.9905637897206,-0.00851970984789317,-0.14008413363181
HighAlps,1969.5,8,0.303352938916825,15.1677967666467,0.0274679456949181,FALSE,0.0918242102021895,0.163916212891218,FALSE,-0.00144247725975138,29.0017260332894,-0.00392699244315996,-0.135341757395274
HighAlps,1975.5,8,0.437548096161457,15.4658047650038,-0.0142514932916294,FALSE,0.0227969360915263,0.19638529450377,FALSE,0.014272155952644,28.9946839281515,0.0109986041199529,-0.090930097702962
HighAlps,1975.5,12,0.406250344800786,15.4805890082938,0.00115054652977926,FALSE,0.0362349497347437,0.197173441492135,FALSE,0.0110128889978216,29.0173528396893,-0.0138309265727908,-0.140239691757078
HighAlps,1981.5,8,0.548718870506635,16.1463758262553,0.0310956819899968,FALSE,0.0951501939583671,0.236657253669374,FALSE,-0.015709585790755,29.0579456107099,0.0611832124105107,-0.00589226495957854
HighAlps,1985.5,12,0.470799089776115,16.5755176581829,0.00944632170344872,FALSE,0.128671501450719,0.266709121422424,FALSE,-0.0737356413812047,28.8263589383001,0.11602098709774,0.409616035586497
HighAlps,1987.5,8,0.39258490149585,16.8041657365686,-0.0134615652842806,FALSE,0.16107609404669,0.282001449869395,FALSE,-0.0916576788585595,28.6878544459236,0.217847947575243,0.502962643478002
HighAlps,1993.5,8,0.25024344997697,16.982491016867,-0.0599347723987498,TRUE,0.149357353010817,0.304078083009906,FALSE,-0.067717651954918,28.196522935326,-0.00582833565972927,0.956987456677074
HighAlps,1995.5,12,0.290422733994747,17.0368954355444,0.0120636398580996,TRUE,0.0968122323022835,0.308264586024549,FALSE,-0.0489633658868745,28.1129188225872,0.000131017893776758,0.957609387639125
HighAlps,1999.5,8,0.324171491410839,17.1406480725521,0.0346724050829594,FALSE,0.0575193085238159,0.318379529106795,FALSE,-0.0276817151579818,27.9365556465688,0.127912939564682,1.0922232647513
HighAlps,2005.5,8,0.443367516381468,17.4665866210819,0.0626217573219646,TRUE,0.137451438672673,0.345223979324552,FALSE,-0.0442409903536635,27.7172329360747,-0.0258026916369351,1.19377296664582
HighAlps,2005.5,12,0.410603697157789,17.4762950082339,0.0359769931337131,TRUE,0.136694691668411,0.3450542910771,FALSE,-0.0474479731791525,27.7022733031255,-0.00112294345733495,1.15315970546116
